time, current_loop, loop_latency, logic_execution_time, conveyor_belt_engine_status(8), conveyor_belt_engine_mode(9), bottle_level_value(10), bottle_level_max(11), bottle_distance_to_filler_value(12), 
2025-01-10 03:23:42.403283, 1736450622400, 0, 2, 1.0, 3.0, 0.0, 1.8, 1.5, 
2025-01-10 03:23:44.615779, 1736450622600, 1, 2005, 1.0, 3.0, 0.0, 1.8, 10.0, 
2025-01-10 03:23:44.617382, 1736450624600, 1816, 1, 1.0, 3.0, 0.0, 1.8, 10.0, 
2025-01-10 03:23:44.814952, 1736450624800, 0, 15, 1.0, 3.0, 0.0, 1.8, 9.0, 
2025-01-10 03:23:45.004007, 1736450625000, 2, 1, 1.0, 3.0, 0.0, 1.8, 8.5, 
2025-01-10 03:23:47.210729, 1736450625200, 1, 2006, 1.0, 3.0, 0.0, 1.8, 17.0, 
2025-01-10 03:23:47.211733, 1736450627200, 1811, 0, 1.0, 3.0, 0.0, 1.8, 17.0, 
2025-01-10 03:23:47.415582, 1736450627400, 4, 11, 1.0, 3.0, 0.0, 1.8, 16.0, 
2025-01-10 03:23:47.613682, 1736450627600, 3, 1, 1.0, 3.0, 0.0, 1.8, 15.0, 
2025-01-10 03:23:49.827005, 1736450627800, 0, 2007, 1.0, 3.0, 0.0, 1.8, 4.0, 
2025-01-10 03:23:49.829003, 1736450629800, 1827, 1, 1.0, 3.0, 0.0, 1.8, 4.0, 
2025-01-10 03:23:50.005983, 1736450630000, 3, 2, 1.0, 3.0, 0.0, 1.8, 3.5, 
2025-01-10 03:23:50.214630, 1736450630200, 1, 5, 1.0, 3.0, 0.0, 1.8, 2.0, 
2025-01-10 03:23:52.417531, 1736450630400, 5, 2003, 1.0, 3.0, 0.0, 1.8, 11.0, 
2025-01-10 03:23:52.419842, 1736450632400, 1818, 1, 1.0, 3.0, 0.0, 1.8, 11.0, 
2025-01-10 03:23:52.614656, 1736450632600, 1, 13, 1.0, 3.0, 0.0, 1.8, 10.0, 
2025-01-10 03:23:52.818043, 1736450632800, 1, 8, 1.0, 3.0, 0.0, 1.8, 9.0, 
2025-01-10 03:23:55.027143, 1736450633000, 7, 2001, 1.0, 3.0, 0.0, 1.8, 18.0, 
2025-01-10 03:23:55.028865, 1736450635000, 1828, 1, 1.0, 3.0, 0.0, 1.8, 18.0, 
2025-01-10 03:23:55.223452, 1736450635200, 2, 21, 1.0, 3.0, 0.0, 1.8, 17.0, 
2025-01-10 03:23:55.407108, 1736450635400, 1, 5, 1.0, 3.0, 0.0, 1.8, 16.5, 
2025-01-10 03:23:57.616608, 1736450635600, 3, 2005, 1.0, 3.0, 0.0, 1.8, 5.0, 
2025-01-10 03:23:57.618581, 1736450637600, 1817, 1, 1.0, 3.0, 0.0, 1.8, 5.0, 
2025-01-10 03:23:57.814993, 1736450637800, 0, 14, 1.0, 3.0, 0.0, 1.8, 4.0, 
2025-01-10 03:23:58.005571, 1736450638000, 3, 2, 1.0, 3.0, 0.0, 1.8, 3.5, 
2025-01-10 03:24:00.216531, 1736450638200, 4, 2003, 1.0, 3.0, 0.0, 1.8, 12.0, 
2025-01-10 03:24:00.217564, 1736450640200, 1817, 0, 1.0, 3.0, 0.0, 1.8, 12.0, 
2025-01-10 03:24:00.414546, 1736450640400, 3, 11, 1.0, 3.0, 0.0, 1.8, 11.5, 
2025-01-10 03:24:00.612886, 1736450640600, 2, 2, 1.0, 3.0, 0.0, 1.8, 10.0, 
2025-01-10 03:24:02.826899, 1736450640800, 4, 2003, 1.0, 3.0, 0.0, 1.8, 19.0, 
2025-01-10 03:24:02.828211, 1736450642800, 1827, 1, 1.0, 3.0, 0.0, 1.8, 19.0, 
2025-01-10 03:24:03.006147, 1736450643000, 2, 4, 1.0, 3.0, 0.0, 1.8, 18.5, 
2025-01-10 03:24:03.215078, 1736450643200, 5, 1, 1.0, 3.0, 0.0, 1.8, 17.0, 
2025-01-10 03:24:05.407028, 1736450643400, 1, 2002, 1.0, 3.0, 0.0, 1.8, 6.0, 
2025-01-10 03:24:05.407891, 1736450645400, 1807, 1, 1.0, 3.0, 0.0, 1.8, 6.0, 
2025-01-10 03:24:05.611406, 1736450645600, 2, 9, 1.0, 3.0, 0.0, 1.8, 5.0, 
2025-01-10 03:24:05.803376, 1736450645800, 0, 2, 1.0, 3.0, 0.0, 1.8, 4.5, 
2025-01-10 03:24:08.005768, 1736450646000, 0, 2004, 1.0, 3.0, 0.0, 1.8, 13.5, 
2025-01-10 03:24:08.019980, 1736450648000, 1809, 2, 1.0, 3.0, 0.0, 1.8, 13.0, 
2025-01-10 03:24:08.208726, 1736450648200, 2, 6, 1.0, 3.0, 0.0, 1.8, 12.0, 
2025-01-10 03:24:08.404684, 1736450648400, 0, 3, 1.0, 3.0, 0.0, 1.8, 11.5, 
2025-01-10 03:24:10.611403, 1736450648600, 1, 2009, 1.0, 3.0, 0.0, 1.8, 0.0, 
